duration,credit_amount,age,checking_status,employment,savings_status,purpose,target
18.0,1936.0,23.0,<0,4<=X<7,no known savings,radio/tv,1
12.0,697.0,46.0,<0,<1,<100,new car,0
12.0,1108.0,28.0,<0,4<=X<7,<100,repairs,0
12.0,3016.0,24.0,>=200,1<=X<4,<100,radio/tv,1
24.0,1258.0,25.0,no checking,4<=X<7,<100,business,1
24.0,4351.0,48.0,0<=X<200,1<=X<4,no known savings,furniture/equipment,1
18.0,3049.0,45.0,>=200,<1,<100,furniture/equipment,1
24.0,1901.0,29.0,no checking,1<=X<4,100<=X<500,radio/tv,1
36.0,2348.0,46.0,<0,1<=X<4,<100,furniture/equipment,1
15.0,4623.0,40.0,no checking,1<=X<4,100<=X<500,education,0
24.0,9277.0,48.0,no checking,1<=X<4,no known savings,used car,1
10.0,1231.0,32.0,no checking,>=7,<100,new car,1
6.0,428.0,49.0,<0,>=7,<100,furniture/equipment,1
15.0,1308.0,38.0,0<=X<200,>=7,<100,repairs,1
9.0,959.0,29.0,0<=X<200,1<=X<4,<100,furniture/equipment,0
60.0,15653.0,21.0,no checking,4<=X<7,<100,radio/tv,1
11.0,1154.0,57.0,no checking,unemployed,100<=X<500,radio/tv,1
10.0,7308.0,70.0,0<=X<200,unemployed,<100,new car,1
21.0,2288.0,23.0,no checking,<1,<100,furniture/equipment,1
60.0,6836.0,63.0,<0,>=7,<100,business,0
21.0,1835.0,25.0,<0,1<=X<4,<100,radio/tv,0
24.0,3621.0,31.0,no checking,>=7,100<=X<500,radio/tv,0
12.0,701.0,32.0,no checking,1<=X<4,<100,education,1
21.0,5248.0,26.0,no checking,1<=X<4,no known savings,used car,1
6.0,860.0,39.0,<0,>=7,<100,new car,1
24.0,2397.0,35.0,no checking,>=7,500<=X<1000,radio/tv,0
18.0,1169.0,29.0,no checking,1<=X<4,no known savings,radio/tv,1
18.0,7511.0,51.0,<0,>=7,no known savings,used car,0
10.0,2146.0,23.0,no checking,<1,<100,furniture/equipment,1
12.0,1372.0,36.0,<0,4<=X<7,<100,new car,0
12.0,1655.0,63.0,no checking,>=7,<100,radio/tv,1
18.0,2278.0,28.0,0<=X<200,<1,100<=X<500,new car,0
12.0,2759.0,34.0,no checking,>=7,<100,furniture/equipment,1
21.0,2241.0,50.0,no checking,>=7,<100,furniture/equipment,1
36.0,10875.0,45.0,no checking,>=7,<100,new car,1
10.0,2210.0,25.0,no checking,1<=X<4,<100,furniture/equipment,0
24.0,3632.0,22.0,<0,1<=X<4,<100,used car,1
42.0,3965.0,34.0,<0,<1,<100,radio/tv,0
15.0,2687.0,26.0,>=200,4<=X<7,<100,business,1
9.0,1154.0,37.0,0<=X<200,>=7,<100,radio/tv,1
24.0,1246.0,23.0,0<=X<200,<1,<100,new car,0
24.0,5511.0,25.0,no checking,1<=X<4,100<=X<500,furniture/equipment,1
18.0,3590.0,40.0,0<=X<200,unemployed,<100,business,1
36.0,5711.0,38.0,no checking,>=7,>=1000,used car,1
15.0,1514.0,22.0,0<=X<200,1<=X<4,100<=X<500,repairs,1
24.0,2064.0,34.0,0<=X<200,unemployed,<100,furniture/equipment,0
12.0,763.0,26.0,no checking,1<=X<4,<100,furniture/equipment,1
60.0,10366.0,42.0,no checking,>=7,<100,new car,1
36.0,3959.0,30.0,<0,unemployed,<100,furniture/equipment,1
24.0,3021.0,24.0,<0,1<=X<4,<100,furniture/equipment,1
6.0,3676.0,37.0,<0,1<=X<4,<100,new car,1
18.0,2622.0,34.0,0<=X<200,1<=X<4,100<=X<500,business,1
18.0,4165.0,36.0,no checking,1<=X<4,<100,business,0
9.0,458.0,24.0,0<=X<200,1<=X<4,<100,radio/tv,1
48.0,12169.0,36.0,0<=X<200,unemployed,no known savings,new car,1
24.0,7721.0,30.0,<0,<1,no known savings,furniture/equipment,1
12.0,2073.0,28.0,no checking,1<=X<4,100<=X<500,radio/tv,1
12.0,1158.0,26.0,0<=X<200,1<=X<4,500<=X<1000,radio/tv,1
24.0,3235.0,26.0,no checking,>=7,500<=X<1000,radio/tv,1
6.0,1237.0,27.0,no checking,1<=X<4,100<=X<500,radio/tv,1
24.0,2424.0,53.0,no checking,>=7,no known savings,radio/tv,1
12.0,797.0,33.0,no checking,>=7,no known savings,radio/tv,0
18.0,1301.0,32.0,0<=X<200,>=7,<100,radio/tv,1
39.0,8588.0,45.0,no checking,>=7,100<=X<500,used car,1
24.0,1474.0,33.0,no checking,<1,100<=X<500,new car,1
12.0,1858.0,22.0,<0,<1,<100,furniture/equipment,1
13.0,2101.0,23.0,0<=X<200,<1,<100,radio/tv,1
12.0,1526.0,66.0,<0,>=7,<100,used car,1
24.0,2197.0,43.0,no checking,4<=X<7,no known savings,used car,1
6.0,448.0,23.0,<0,<1,<100,education,0
15.0,1360.0,31.0,no checking,1<=X<4,<100,radio/tv,1
12.0,951.0,27.0,0<=X<200,<1,100<=X<500,furniture/equipment,0
12.0,1262.0,25.0,no checking,1<=X<4,<100,radio/tv,1
12.0,1555.0,55.0,no checking,>=7,>=1000,repairs,0
48.0,10222.0,37.0,no checking,4<=X<7,no known savings,radio/tv,1
30.0,3077.0,40.0,no checking,>=7,no known savings,radio/tv,1
27.0,8613.0,27.0,no checking,1<=X<4,>=1000,used car,1
6.0,4716.0,44.0,<0,<1,no known savings,new car,1
6.0,14896.0,68.0,<0,>=7,<100,new car,0
6.0,1872.0,36.0,<0,unemployed,<100,furniture/equipment,1
48.0,18424.0,32.0,0<=X<200,1<=X<4,<100,other,0
6.0,338.0,52.0,<0,>=7,500<=X<1000,radio/tv,1
6.0,1047.0,50.0,>=200,1<=X<4,<100,education,1
24.0,1559.0,50.0,no checking,4<=X<7,<100,business,1
24.0,1747.0,24.0,<0,<1,<100,furniture/equipment,1
6.0,1957.0,31.0,<0,4<=X<7,<100,radio/tv,1
24.0,8648.0,27.0,no checking,<1,<100,business,0
36.0,2394.0,25.0,no checking,1<=X<4,no known savings,radio/tv,1
12.0,618.0,56.0,no checking,>=7,<100,radio/tv,1
9.0,1549.0,35.0,0<=X<200,<1,no known savings,new car,1
24.0,1381.0,35.0,<0,1<=X<4,no known savings,new car,0
24.0,6314.0,27.0,no checking,unemployed,<100,other,1
18.0,3850.0,27.0,no checking,4<=X<7,<100,used car,1
18.0,3001.0,40.0,0<=X<200,4<=X<7,<100,furniture/equipment,1
48.0,4605.0,24.0,<0,>=7,<100,used car,0
24.0,2375.0,44.0,no checking,1<=X<4,500<=X<1000,business,1
9.0,1364.0,59.0,<0,4<=X<7,<100,radio/tv,1
24.0,2028.0,30.0,no checking,4<=X<7,<100,furniture/equipment,1
7.0,846.0,36.0,no checking,>=7,no known savings,radio/tv,1
24.0,2978.0,32.0,no checking,1<=X<4,no known savings,business,1
18.0,2462.0,22.0,<0,1<=X<4,<100,furniture/equipment,0
45.0,11816.0,29.0,<0,>=7,<100,business,0
10.0,1347.0,27.0,>=200,4<=X<7,no known savings,radio/tv,1
18.0,1530.0,32.0,no checking,1<=X<4,<100,new car,0
12.0,3651.0,31.0,<0,1<=X<4,>=1000,new car,1
18.0,1817.0,28.0,no checking,1<=X<4,<100,furniture/equipment,1
18.0,3378.0,31.0,no checking,1<=X<4,no known savings,used car,1
18.0,1505.0,32.0,no checking,1<=X<4,<100,radio/tv,1
6.0,1238.0,36.0,no checking,unemployed,no known savings,retraining,1
15.0,1271.0,39.0,>=200,1<=X<4,no known savings,radio/tv,0
24.0,6579.0,29.0,<0,unemployed,<100,used car,1
24.0,6313.0,41.0,no checking,>=7,no known savings,used car,1
15.0,1300.0,45.0,no checking,>=7,no known savings,used car,1
36.0,9398.0,28.0,0<=X<200,<1,<100,used car,0
24.0,2910.0,34.0,<0,4<=X<7,<100,used car,1
36.0,5179.0,29.0,<0,4<=X<7,<100,furniture/equipment,0
6.0,368.0,38.0,0<=X<200,>=7,no known savings,radio/tv,1
15.0,1459.0,43.0,no checking,1<=X<4,<100,radio/tv,1
6.0,1236.0,50.0,no checking,1<=X<4,500<=X<1000,used car,1
24.0,1311.0,26.0,no checking,4<=X<7,100<=X<500,radio/tv,1
10.0,1038.0,49.0,<0,4<=X<7,<100,new car,1
24.0,6568.0,21.0,<0,1<=X<4,<100,business,1
18.0,1190.0,55.0,<0,unemployed,<100,repairs,0
20.0,6148.0,31.0,0<=X<200,>=7,100<=X<500,used car,1
20.0,4272.0,24.0,<0,>=7,<100,furniture/equipment,1
18.0,1533.0,43.0,no checking,<1,<100,furniture/equipment,0
6.0,1554.0,24.0,no checking,4<=X<7,<100,radio/tv,1
24.0,1275.0,36.0,>=200,1<=X<4,>=1000,business,1
15.0,950.0,33.0,<0,>=7,<100,new car,0
30.0,3017.0,47.0,>=200,>=7,<100,radio/tv,1
6.0,683.0,29.0,>=200,<1,<100,radio/tv,1
21.0,2993.0,28.0,no checking,1<=X<4,<100,used car,1
12.0,3331.0,42.0,no checking,>=7,<100,furniture/equipment,1
36.0,3620.0,37.0,<0,1<=X<4,<100,furniture/equipment,1
18.0,1795.0,48.0,0<=X<200,>=7,<100,radio/tv,1
18.0,3780.0,35.0,no checking,<1,<100,furniture/equipment,1
12.0,4843.0,43.0,<0,>=7,<100,new car,0
12.0,6078.0,32.0,0<=X<200,4<=X<7,<100,new car,1
24.0,3863.0,32.0,no checking,1<=X<4,<100,business,1
12.0,3499.0,29.0,<0,1<=X<4,<100,new car,0
24.0,1837.0,34.0,0<=X<200,4<=X<7,<100,education,0
24.0,6615.0,75.0,<0,unemployed,<100,used car,1
24.0,2384.0,64.0,<0,>=7,<100,radio/tv,1
10.0,1309.0,27.0,no checking,1<=X<4,no known savings,new car,0
24.0,1755.0,58.0,<0,>=7,<100,other,1
6.0,2116.0,41.0,>=200,1<=X<4,<100,furniture/equipment,1
9.0,3195.0,33.0,0<=X<200,1<=X<4,no known savings,new car,1
9.0,2301.0,22.0,no checking,<1,100<=X<500,furniture/equipment,1
36.0,8065.0,25.0,<0,1<=X<4,<100,education,0
24.0,2872.0,36.0,no checking,>=7,100<=X<500,radio/tv,1
30.0,8386.0,49.0,0<=X<200,4<=X<7,<100,furniture/equipment,0
6.0,590.0,26.0,0<=X<200,<1,<100,radio/tv,1
12.0,1680.0,35.0,<0,>=7,500<=X<1000,radio/tv,1
48.0,3979.0,41.0,0<=X<200,4<=X<7,no known savings,radio/tv,1
12.0,727.0,33.0,<0,<1,100<=X<500,radio/tv,0
24.0,1278.0,36.0,no checking,>=7,<100,radio/tv,1
30.0,2150.0,24.0,0<=X<200,1<=X<4,<100,new car,0
18.0,2515.0,43.0,no checking,1<=X<4,<100,furniture/equipment,1
24.0,3777.0,50.0,no checking,1<=X<4,>=1000,furniture/equipment,1
30.0,6187.0,24.0,<0,4<=X<7,100<=X<500,used car,1
48.0,8487.0,24.0,0<=X<200,4<=X<7,no known savings,new car,1
18.0,3422.0,47.0,no checking,>=7,<100,furniture/equipment,1
12.0,2579.0,33.0,<0,<1,<100,new car,0
30.0,4583.0,32.0,<0,1<=X<4,<100,furniture/equipment,1
21.0,2767.0,61.0,0<=X<200,>=7,100<=X<500,business,0
24.0,11938.0,39.0,0<=X<200,1<=X<4,<100,other,0
4.0,1503.0,42.0,no checking,4<=X<7,<100,radio/tv,1
60.0,6527.0,34.0,no checking,1<=X<4,no known savings,new car,1
18.0,750.0,27.0,<0,unemployed,<100,education,0
21.0,1591.0,34.0,no checking,4<=X<7,100<=X<500,furniture/equipment,1
12.0,1402.0,37.0,no checking,4<=X<7,500<=X<1000,furniture/equipment,1
48.0,3914.0,38.0,no checking,1<=X<4,no known savings,business,0
36.0,2225.0,57.0,0<=X<200,>=7,<100,new car,0
6.0,932.0,24.0,no checking,1<=X<4,<100,radio/tv,1
30.0,2181.0,36.0,0<=X<200,>=7,no known savings,new car,1
30.0,6350.0,31.0,<0,>=7,no known savings,furniture/equipment,0
24.0,2812.0,26.0,<0,>=7,no known savings,used car,1
21.0,571.0,65.0,<0,>=7,<100,new car,1
30.0,2831.0,33.0,no checking,1<=X<4,<100,radio/tv,1
12.0,4675.0,20.0,no checking,<1,no known savings,used car,1
30.0,3857.0,40.0,<0,1<=X<4,<100,used car,1
12.0,1101.0,27.0,no checking,1<=X<4,<100,new car,1
36.0,4210.0,26.0,>=200,1<=X<4,<100,radio/tv,0
12.0,3399.0,37.0,>=200,>=7,no known savings,radio/tv,1
24.0,5084.0,42.0,0<=X<200,>=7,no known savings,radio/tv,1
10.0,894.0,40.0,no checking,4<=X<7,no known savings,retraining,1
21.0,3763.0,24.0,<0,4<=X<7,no known savings,new car,1
15.0,1512.0,61.0,0<=X<200,1<=X<4,>=1000,repairs,0
48.0,10127.0,44.0,no checking,1<=X<4,500<=X<1000,new car,0
48.0,6560.0,24.0,0<=X<200,4<=X<7,100<=X<500,new car,0
48.0,15672.0,23.0,0<=X<200,1<=X<4,<100,business,0
10.0,2315.0,52.0,<0,>=7,<100,radio/tv,1
15.0,1845.0,46.0,<0,<1,<100,furniture/equipment,1
24.0,1967.0,20.0,0<=X<200,>=7,<100,radio/tv,1
9.0,276.0,22.0,0<=X<200,1<=X<4,<100,new car,1
24.0,4139.0,27.0,no checking,1<=X<4,100<=X<500,business,1
30.0,2991.0,25.0,0<=X<200,>=7,no known savings,radio/tv,1
18.0,4594.0,32.0,no checking,<1,<100,radio/tv,1
24.0,6419.0,44.0,<0,>=7,<100,used car,1
18.0,2775.0,31.0,no checking,4<=X<7,<100,new car,0
30.0,1715.0,26.0,0<=X<200,1<=X<4,no known savings,radio/tv,1
6.0,1750.0,45.0,no checking,>=7,500<=X<1000,radio/tv,1
36.0,1819.0,37.0,no checking,1<=X<4,<100,education,0
24.0,4110.0,23.0,<0,>=7,<100,furniture/equipment,0
10.0,2132.0,27.0,<0,<1,no known savings,furniture/equipment,1
24.0,1249.0,28.0,no checking,<1,<100,new car,1
24.0,2964.0,49.0,<0,>=7,no known savings,used car,1
15.0,975.0,25.0,<0,1<=X<4,<100,furniture/equipment,1
6.0,1766.0,21.0,no checking,1<=X<4,<100,furniture/equipment,1
36.0,7127.0,23.0,no checking,<1,<100,furniture/equipment,0
30.0,1919.0,30.0,0<=X<200,<1,100<=X<500,radio/tv,0
12.0,7865.0,53.0,<0,>=7,<100,furniture/equipment,0
24.0,915.0,29.0,<0,>=7,no known savings,new car,0
9.0,1126.0,49.0,>=200,>=7,100<=X<500,radio/tv,1
24.0,2303.0,45.0,<0,>=7,<100,new car,0
18.0,5866.0,30.0,0<=X<200,1<=X<4,100<=X<500,new car,1
24.0,1024.0,48.0,<0,<1,<100,radio/tv,0
10.0,1418.0,35.0,no checking,1<=X<4,100<=X<500,new car,1
48.0,6416.0,59.0,0<=X<200,>=7,<100,business,0
12.0,2246.0,60.0,<0,>=7,<100,furniture/equipment,0
21.0,12680.0,30.0,no checking,>=7,no known savings,new car,0
6.0,1204.0,35.0,no checking,1<=X<4,100<=X<500,new car,1
48.0,7476.0,50.0,<0,4<=X<7,<100,education,1
18.0,2473.0,25.0,<0,unemployed,<100,furniture/equipment,0
36.0,6948.0,35.0,0<=X<200,1<=X<4,<100,used car,1
18.0,2662.0,32.0,no checking,4<=X<7,no known savings,new car,1
12.0,3017.0,34.0,0<=X<200,<1,<100,furniture/equipment,1
12.0,1037.0,39.0,0<=X<200,4<=X<7,100<=X<500,business,1
6.0,1068.0,28.0,0<=X<200,>=7,<100,radio/tv,1
24.0,3868.0,41.0,no checking,>=7,<100,used car,1
48.0,10297.0,39.0,<0,4<=X<7,<100,used car,0
15.0,3959.0,29.0,<0,1<=X<4,<100,new car,0
6.0,709.0,27.0,>=200,<1,>=1000,new car,1
12.0,626.0,24.0,<0,1<=X<4,<100,radio/tv,0
10.0,1225.0,37.0,>=200,1<=X<4,<100,domestic appliance,1
6.0,2647.0,44.0,<0,1<=X<4,500<=X<1000,radio/tv,1
12.0,1474.0,33.0,>=200,<1,<100,furniture/equipment,1
48.0,4788.0,26.0,<0,4<=X<7,<100,used car,1
24.0,12579.0,44.0,0<=X<200,>=7,<100,used car,0
18.0,2100.0,37.0,>=200,1<=X<4,<100,radio/tv,0
42.0,7882.0,45.0,<0,4<=X<7,<100,furniture/equipment,1
33.0,7253.0,35.0,no checking,4<=X<7,<100,used car,1
60.0,7408.0,24.0,0<=X<200,<1,100<=X<500,new car,0
36.0,2384.0,33.0,0<=X<200,<1,<100,repairs,0
9.0,1082.0,27.0,0<=X<200,>=7,<100,radio/tv,1
30.0,4272.0,26.0,no checking,1<=X<4,100<=X<500,business,1
27.0,3416.0,27.0,<0,1<=X<4,<100,radio/tv,1
14.0,8978.0,45.0,<0,>=7,<100,new car,0
6.0,362.0,52.0,no checking,1<=X<4,100<=X<500,new car,1
24.0,1597.0,54.0,no checking,>=7,<100,education,1
48.0,12749.0,37.0,no checking,4<=X<7,500<=X<1000,radio/tv,1
48.0,3051.0,54.0,<0,1<=X<4,<100,domestic appliance,0
24.0,2325.0,32.0,<0,4<=X<7,100<=X<500,new car,1
9.0,1206.0,25.0,0<=X<200,>=7,<100,radio/tv,1
30.0,3441.0,21.0,0<=X<200,1<=X<4,100<=X<500,furniture/equipment,0
12.0,795.0,53.0,<0,<1,<100,education,0
10.0,2901.0,31.0,no checking,<1,no known savings,used car,1
10.0,1521.0,31.0,0<=X<200,1<=X<4,<100,furniture/equipment,1
12.0,709.0,57.0,<0,>=7,<100,radio/tv,0
6.0,700.0,36.0,no checking,>=7,no known savings,radio/tv,1
30.0,5771.0,25.0,no checking,4<=X<7,<100,radio/tv,1
60.0,7418.0,27.0,0<=X<200,1<=X<4,no known savings,radio/tv,1
24.0,3105.0,25.0,no checking,<1,no known savings,radio/tv,1
12.0,685.0,25.0,0<=X<200,4<=X<7,<100,new car,0
20.0,6468.0,60.0,0<=X<200,unemployed,no known savings,used car,1
12.0,3124.0,49.0,0<=X<200,<1,<100,new car,1
12.0,2969.0,25.0,0<=X<200,<1,<100,furniture/equipment,0
15.0,2788.0,24.0,no checking,4<=X<7,<100,furniture/equipment,1
30.0,4811.0,24.0,no checking,4<=X<7,no known savings,used car,1
18.0,1239.0,61.0,0<=X<200,1<=X<4,no known savings,education,1
12.0,5801.0,49.0,no checking,>=7,no known savings,furniture/equipment,1
36.0,2820.0,27.0,0<=X<200,<1,<100,new car,0
24.0,3345.0,39.0,<0,>=7,<100,furniture/equipment,0
24.0,1199.0,60.0,<0,>=7,<100,new car,0
27.0,2442.0,43.0,<0,>=7,<100,business,1
36.0,6304.0,36.0,no checking,>=7,no known savings,business,1
15.0,1053.0,27.0,<0,<1,<100,radio/tv,1
6.0,1050.0,35.0,0<=X<200,unemployed,<100,furniture/equipment,1
24.0,2463.0,27.0,no checking,4<=X<7,100<=X<500,new car,1
39.0,4933.0,25.0,0<=X<200,4<=X<7,<100,radio/tv,0
30.0,4530.0,26.0,no checking,4<=X<7,<100,radio/tv,1
6.0,518.0,29.0,no checking,1<=X<4,<100,radio/tv,1
12.0,804.0,38.0,no checking,>=7,<100,radio/tv,1
42.0,4796.0,56.0,>=200,>=7,<100,used car,1
12.0,1567.0,22.0,0<=X<200,1<=X<4,<100,radio/tv,1
12.0,2141.0,35.0,no checking,4<=X<7,100<=X<500,radio/tv,1
15.0,6850.0,34.0,0<=X<200,unemployed,100<=X<500,new car,0
24.0,2828.0,22.0,<0,1<=X<4,500<=X<1000,furniture/equipment,1
15.0,2326.0,27.0,0<=X<200,1<=X<4,500<=X<1000,business,1
18.0,1445.0,49.0,>=200,4<=X<7,no known savings,radio/tv,1
15.0,1478.0,33.0,no checking,1<=X<4,<100,radio/tv,1
24.0,1659.0,29.0,<0,<1,<100,radio/tv,0
12.0,2445.0,26.0,no checking,<1,no known savings,used car,1
18.0,1055.0,30.0,no checking,<1,<100,new car,1
48.0,7119.0,53.0,<0,1<=X<4,<100,furniture/equipment,0
24.0,3757.0,62.0,no checking,>=7,<100,new car,1
6.0,1740.0,30.0,no checking,>=7,<100,radio/tv,1
18.0,4380.0,35.0,<0,1<=X<4,100<=X<500,new car,1
48.0,7629.0,46.0,no checking,>=7,no known savings,business,1
30.0,1908.0,66.0,>=200,>=7,<100,business,0
26.0,7966.0,30.0,0<=X<200,<1,<100,used car,1
12.0,754.0,38.0,0<=X<200,>=7,no known savings,retraining,1
15.0,3812.0,23.0,no checking,<1,100<=X<500,used car,1
18.0,4439.0,33.0,0<=X<200,>=7,<100,business,1
15.0,2360.0,36.0,>=200,1<=X<4,500<=X<1000,used car,1
9.0,1288.0,48.0,<0,>=7,100<=X<500,repairs,1
9.0,1919.0,35.0,0<=X<200,4<=X<7,<100,furniture/equipment,1
12.0,976.0,35.0,no checking,>=7,no known savings,radio/tv,1
30.0,5234.0,28.0,0<=X<200,unemployed,<100,new car,0
18.0,2404.0,26.0,no checking,1<=X<4,<100,radio/tv,1
27.0,5117.0,26.0,no checking,4<=X<7,<100,business,1
40.0,5998.0,27.0,<0,1<=X<4,<100,education,0
28.0,2743.0,29.0,no checking,>=7,<100,radio/tv,1
24.0,3972.0,25.0,no checking,4<=X<7,<100,furniture/equipment,1
20.0,3485.0,44.0,no checking,<1,no known savings,new car,1
4.0,1455.0,42.0,no checking,4<=X<7,<100,new car,1
12.0,1297.0,23.0,>=200,1<=X<4,<100,radio/tv,1
18.0,3190.0,24.0,<0,1<=X<4,<100,radio/tv,0
24.0,1333.0,43.0,<0,unemployed,<100,new car,0
27.0,4526.0,32.0,no checking,<1,>=1000,furniture/equipment,1
6.0,931.0,32.0,0<=X<200,<1,100<=X<500,new car,0
12.0,522.0,42.0,no checking,>=7,500<=X<1000,radio/tv,1
12.0,3565.0,37.0,no checking,<1,no known savings,education,1
24.0,1377.0,47.0,>=200,>=7,100<=X<500,radio/tv,1
21.0,3160.0,41.0,no checking,>=7,no known savings,radio/tv,1
30.0,5954.0,38.0,no checking,4<=X<7,<100,radio/tv,1
30.0,2406.0,23.0,<0,4<=X<7,<100,furniture/equipment,0
6.0,1346.0,42.0,no checking,>=7,100<=X<500,radio/tv,1
15.0,1444.0,23.0,0<=X<200,<1,no known savings,radio/tv,1
11.0,3905.0,36.0,<0,1<=X<4,<100,new car,1
24.0,1393.0,31.0,no checking,1<=X<4,<100,new car,1
6.0,1898.0,34.0,no checking,1<=X<4,no known savings,radio/tv,1
18.0,2249.0,30.0,<0,4<=X<7,100<=X<500,new car,1
24.0,2896.0,29.0,0<=X<200,<1,100<=X<500,radio/tv,1
7.0,2329.0,45.0,0<=X<200,<1,<100,radio/tv,1
14.0,3973.0,22.0,<0,unemployed,<100,new car,1
36.0,9566.0,31.0,no checking,1<=X<4,<100,radio/tv,1
24.0,2825.0,34.0,0<=X<200,4<=X<7,no known savings,business,1
9.0,1244.0,41.0,no checking,>=7,no known savings,education,1
4.0,3380.0,37.0,no checking,4<=X<7,<100,new car,1
11.0,1393.0,35.0,no checking,<1,<100,new car,1
48.0,3844.0,34.0,0<=X<200,4<=X<7,100<=X<500,business,0
12.0,1163.0,44.0,no checking,1<=X<4,500<=X<1000,new car,1
24.0,5507.0,44.0,no checking,>=7,<100,repairs,1
12.0,1412.0,29.0,no checking,1<=X<4,<100,business,1
12.0,930.0,65.0,no checking,>=7,no known savings,radio/tv,1
12.0,886.0,21.0,no checking,1<=X<4,no known savings,radio/tv,1
24.0,3149.0,22.0,<0,<1,<100,furniture/equipment,1
12.0,1934.0,26.0,no checking,>=7,<100,radio/tv,1
14.0,1410.0,35.0,0<=X<200,>=7,500<=X<1000,business,1
12.0,1240.0,38.0,no checking,>=7,no known savings,radio/tv,1
9.0,936.0,52.0,no checking,>=7,500<=X<1000,education,1
12.0,1498.0,23.0,<0,1<=X<4,<100,radio/tv,1
28.0,7824.0,40.0,no checking,<1,no known savings,used car,1
16.0,2625.0,43.0,<0,>=7,<100,new car,0
9.0,1136.0,32.0,0<=X<200,>=7,>=1000,education,0
24.0,4679.0,35.0,no checking,4<=X<7,<100,used car,1
24.0,1553.0,23.0,0<=X<200,4<=X<7,100<=X<500,radio/tv,1
15.0,874.0,24.0,no checking,<1,no known savings,domestic appliance,1
24.0,1382.0,26.0,<0,4<=X<7,100<=X<500,business,1
24.0,2718.0,20.0,0<=X<200,1<=X<4,<100,new car,0
18.0,866.0,25.0,0<=X<200,1<=X<4,<100,radio/tv,1
24.0,1287.0,37.0,no checking,>=7,>=1000,new car,1
6.0,662.0,41.0,<0,<1,<100,new car,1
36.0,4455.0,30.0,0<=X<200,1<=X<4,<100,business,0
12.0,1289.0,21.0,<0,1<=X<4,<100,furniture/equipment,1
18.0,1924.0,27.0,0<=X<200,<1,no known savings,furniture/equipment,0
54.0,9436.0,39.0,no checking,1<=X<4,no known savings,used car,1
27.0,2570.0,21.0,no checking,1<=X<4,<100,new car,0
36.0,3249.0,39.0,<0,4<=X<7,<100,new car,1
6.0,1374.0,75.0,<0,unemployed,no known savings,new car,1
30.0,8072.0,25.0,<0,<1,no known savings,business,1
15.0,1979.0,35.0,no checking,>=7,no known savings,radio/tv,1
18.0,1345.0,26.0,<0,1<=X<4,<100,radio/tv,0
9.0,1236.0,23.0,no checking,<1,<100,domestic appliance,1
36.0,11054.0,30.0,no checking,1<=X<4,no known savings,used car,1
36.0,3535.0,37.0,no checking,4<=X<7,<100,new car,1
24.0,1516.0,43.0,no checking,1<=X<4,>=1000,radio/tv,1
15.0,3568.0,54.0,no checking,>=7,<100,radio/tv,1
60.0,9157.0,27.0,0<=X<200,1<=X<4,no known savings,radio/tv,1
